Sample_Name,Microbiome,Sample,Rep,fq1,fq2
S4-A554-1,S4,A554,1,S4-A554-1_L001_R1_001.fastq.gz,S4-A554-1_L001_R2_001.fastq.gz
S9-A554-2,S9,A554,2,S9-A554-2_L001_R1_001.fastq.gz,S9-A554-2_L001_R2_001.fastq.gz
S3-A554-1,S3,A554,1,S3-A554-1_L001_R1_001.fastq.gz,S3-A554-1_L001_R2_001.fastq.gz
S5-A554-2,S5,A554,2,S5-A554-2_L001_R1_001.fastq.gz,S5-A554-2_L001_R2_001.fastq.gz
S15-A554-1,S15,A554,1,S15-A554-1_L001_R1_001.fastq.gz,S15-A554-1_L001_R2_001.fastq.gz
S21-A554-2,S21,A554,2,S21-A554-2_L001_R1_001.fastq.gz,S21-A554-2_L001_R2_001.fastq.gz
S22-A554-2,S22,A554,2,S22-A554-2_L001_R1_001.fastq.gz,S22-A554-2_L001_R2_001.fastq.gz
S4-A554-2,S4,A554,2,S4-A554-2_L001_R1_001.fastq.gz,S4-A554-2_L001_R2_001.fastq.gz
S14-A554-2,S14,A554,2,S14-A554-2_L001_R1_001.fastq.gz,S14-A554-2_L001_R2_001.fastq.gz
S17-A554-1,S17,A554,1,S17-A554-1_L001_R1_001.fastq.gz,S17-A554-1_L001_R2_001.fastq.gz
S20-A554-2,S20,A554,2,S20-A554-2_L001_R1_001.fastq.gz,S20-A554-2_L001_R2_001.fastq.gz
S24-A554-2,S24,A554,2,S24-A554-2_L001_R1_001.fastq.gz,S24-A554-2_L001_R2_001.fastq.gz
S18-A554-2,S18,A554,2,S18-A554-2_L001_R1_001.fastq.gz,S18-A554-2_L001_R2_001.fastq.gz
S1-A554-1,S1,A554,1,S1-A554-1_L001_R1_001.fastq.gz,S1-A554-1_L001_R2_001.fastq.gz
S5-A554-1,S5,A554,1,S5-A554-1_L001_R1_001.fastq.gz,S5-A554-1_L001_R2_001.fastq.gz
S19-A554-1,S19,A554,1,S19-A554-1_L001_R1_001.fastq.gz,S19-A554-1_L001_R2_001.fastq.gz
S16-A554-1,S16,A554,1,S16-A554-1_L001_R1_001.fastq.gz,S16-A554-1_L001_R2_001.fastq.gz
S6-A554-1,S6,A554,1,S6-A554-1_L001_R1_001.fastq.gz,S6-A554-1_L001_R2_001.fastq.gz
S2-A554-2,S2,A554,2,S2-A554-2_L001_R1_001.fastq.gz,S2-A554-2_L001_R2_001.fastq.gz
S1-A554-2,S1,A554,2,S1-A554-2_L001_R1_001.fastq.gz,S1-A554-2_L001_R2_001.fastq.gz
S21-A554-1,S21,A554,1,S21-A554-1_L001_R1_001.fastq.gz,S21-A554-1_L001_R2_001.fastq.gz
S17-A554-2,S17,A554,2,S17-A554-2_L001_R1_001.fastq.gz,S17-A554-2_L001_R2_001.fastq.gz
S7-A554-2,S7,A554,2,S7-A554-2_L001_R1_001.fastq.gz,S7-A554-2_L001_R2_001.fastq.gz
S12-B57-2,S12,B57,2,S12-B57-2_L001_R1_001.fastq.gz,S12-B57-2_L001_R2_001.fastq.gz
