Sample Name,CT,Microbiome,Seed_Name
S16-B57-2,29.057,S16,B57
S16-FBB0-1,29.739,S16,FBB0
S16-FBB0-1,29.672,S16,FBB0
S16-FBB0-2,30.308,S16,FBB0
S16-FBB0-2,30.34,S16,FBB0
S16-HP301-1,25.712,S16,HP301
S16-HP301-1,25.736,S16,HP301
S16-HP301-2,27.235,S16,HP301
S16-HP301-2,27.433,S16,HP301
S16-LH60-1,27.027,S16,LH60
S16-LH60-1,26.99,S16,LH60
S16-LH60-2,27.609,S16,LH60
S16-LH60-2,27.905,S16,LH60
S16-NC262-1,26.078,S16,NC262
S16-NC262-1,26.342,S16,NC262
S16-NC262-2,28.004,S16,NC262
S16-NC262-2,28.251,S16,NC262
S16-PHG35-1,23.047,S16,PHG35
S16-PHG35-1,24.201,S16,PHG35
S16-PHG35-2,27.448,S16,PHG35
S16-PHG35-2,27.295,S16,PHG35
S16-PHG39-1,26.889,S16,PHG39
S16-PHG39-1,26.395,S16,PHG39
S16-PHG39-2,25.442,S16,PHG39
S16-PHG39-2,25.056,S16,PHG39
S16-PHG47-1,25.011,S16,PHG47
S16-PHG47-1,25.202,S16,PHG47
S16-PHG47-2,26.789,S16,PHG47
S16-PHG47-2,27.008,S16,PHG47
S17-764-1,29.463,S17,764
S17-764-1,30.288,S17,764
S17-764-2,28.162,S17,764
S17-764-2,27.604,S17,764
S17-A554-1,28.123,S17,A554
S17-A554-1,28.855,S17,A554
S17-A554-2,26.278,S17,A554
S17-A554-2,25.847,S17,A554
S17-B57-1,29.272,S17,B57
S17-B57-1,28.796,S17,B57
S17-B57-2,28.716,S17,B57
S17-B57-2,29.036,S17,B57
S17-FBB0-1,Undetermined,S17,FBB0
S17-FBB0-1,31.979,S17,FBB0
S17-FBB0-2,30.806,S17,FBB0
S17-FBB0-2,30.821,S17,FBB0
S17-HP301-1,29.05,S17,HP301
S17-HP301-1,29.588,S17,HP301
S17-HP301-2,28.1,S17,HP301
S17-HP301-2,27.979,S17,HP301
S17-LH60-1,30.415,S17,LH60
S17-LH60-1,31.509,S17,LH60
S17-LH60-2,27.843,S17,LH60
S17-LH60-2,27.681,S17,LH60
S17-NC262-1,29.075,S17,NC262
S17-NC262-1,29.792,S17,NC262
S17-NC262-2,27.8,S17,NC262
S17-NC262-2,27.821,S17,NC262
S17-PHG35-1,29.47,S17,PHG35
S17-PHG35-1,29.386,S17,PHG35
S17-PHG35-2,28.328,S17,PHG35
S17-PHG35-2,28.078,S17,PHG35
S17-PHG39-1,28.114,S17,PHG39
S17-PHG39-1,28.4,S17,PHG39
S17-PHG39-2,29.482,S17,PHG39
S17-PHG39-2,29.097,S17,PHG39
S17-PHG47-1,28.648,S17,PHG47
S17-PHG47-1,29.474,S17,PHG47
S17-PHG47-2,26.845,S17,PHG47
S17-PHG47-2,26.948,S17,PHG47
S18-764-1,25.112,S18,764
S18-764-1,24.907,S18,764
S18-764-2,26.975,S18,764
S18-764-2,26.672,S18,764
S18-A554-1,25.709,S18,A554
S18-A554-1,25.401,S18,A554
S18-A554-2,25.965,S18,A554
S18-A554-2,25.761,S18,A554
S18-B57-1,25.157,S18,B57
S18-B57-1,25.083,S18,B57
S18-B57-2,25.772,S18,B57
S18-B57-2,25.339,S18,B57
S18-FBB0-1,27.086,S18,FBB0
S18-FBB0-1,26.95,S18,FBB0
S18-FBB0-2,26.825,S18,FBB0
