Sample Name,CT,Microbiome,Seed_Name
S7-PHG35-1,24.011,S7,PHG35
S7-PHG35-2,26.67,S7,PHG35
S7-PHG35-2,26.669,S7,PHG35
S7-PHG39-1,23.984,S7,PHG39
S7-PHG39-1,23.727,S7,PHG39
S7-PHG39-2,25.38,S7,PHG39
S7-PHG39-2,25.551,S7,PHG39
S7-PHG47-1,23.952,S7,PHG47
S7-PHG47-1,23.345,S7,PHG47
S7-PHG47-2,25.107,S7,PHG47
S7-PHG47-2,24.4,S7,PHG47
S9-764-1,21.715,S9,764
S9-764-1,21.462,S9,764
S9-764-2,20.051,S9,764
S9-764-2,20.584,S9,764
S9-A554-1,20.312,S9,A554
S9-A554-1,20.572,S9,A554
S9-A554-2,20.901,S9,A554
S9-A554-2,20.812,S9,A554
S9-B57-1,21.04,S9,B57
S9-B57-1,20.632,S9,B57
S9-B57-2,19.744,S9,B57
S9-B57-2,20.306,S9,B57
S9-FBB0-1,21.238,S9,FBB0
S9-FBB0-1,22.426,S9,FBB0
S9-FBB0-2,21.559,S9,FBB0
S9-FBB0-2,21.435,S9,FBB0
S9-HP301-1,20.41,S9,HP301
S9-HP301-1,20.317,S9,HP301
S9-HP301-2,20.405,S9,HP301
S9-HP301-2,20.277,S9,HP301
S9-LH60-1,19.275,S9,LH60
S9-LH60-1,20.32,S9,LH60
S9-LH60-2,20.469,S9,LH60
S9-LH60-2,20.493,S9,LH60
S9-NC262-1,21.501,S9,NC262
S9-NC262-1,20.81,S9,NC262
S9-NC262-2,19.634,S9,NC262
S9-NC262-2,19.704,S9,NC262
S9-PHG35-1,20.436,S9,PHG35
S9-PHG35-1,20.643,S9,PHG35
S9-PHG39-1,20.888,S9,PHG39
S9-PHG39-1,20.561,S9,PHG39
S9-PHG39-2,20.093,S9,PHG39
S9-PHG39-2,20.085,S9,PHG39
S9-PHG47-1,20.177,S9,PHG47
S9-PHG47-1,20.138,S9,PHG47
S9-PHG47-2,19.908,S9,PHG47
S9-PHG47-2,19.723,S9,PHG47
