Sample_Name,B.caccae,B.ovatus,B.acidifaciens,B.fragilis,B.thetaiotaomicron,B.cellulosilyticus,B.stercoris,B.eggerthii,B.uniformis,B.massiliensis,B.vulgatus,B.dorei,Microbiome,Seed_Type,Reps
S14-PHG39-1,1,24,1,0,8,0,0,0,0,2,190,178,S14,PHG39,1
S7-PHG39-1,0,77,0,163,370,0,0,0,404,1,9,466,S7,PHG39,1
S4-PHG39-1,0,4,808,0,130,202,444,0,100,0,582,2,S4,PHG39,1
S9-PHG39-2,41,372,0,0,50,0,366,97,51,63,1210,4,S9,PHG39,2
S3-PHG39-1,33,183,1,1,71,120,130,0,2,129,503,2,S3,PHG39,1
S5-PHG39-2,2,5,0,144,636,1116,8,0,66,0,1163,3,S5,PHG39,2
S21-PHG39-2,0,1884,3,1,311,4,0,1,3,0,1237,5,S21,PHG39,2
S17-PHG39-1,2,186,0,0,5,0,2,0,1,3,1374,230,S17,PHG39,1
S22-PHG39-2,82,517,0,9,0,1,0,0,764,5,1634,0,S22,PHG39,2
S4-PHG39-2,0,3,784,0,112,228,428,0,86,1,510,2,S4,PHG39,2
S14-PHG39-2,0,12,0,0,2,2,1,1,1,2,133,135,S14,PHG39,2
S20-PHG39-2,46,6,3,27,226,352,0,0,77,1,513,0,S20,PHG39,2
S24-PHG39-2,2,709,0,0,123,141,1,0,242,614,1844,7,S24,PHG39,2
S18-PHG39-2,0,5,4,258,383,6,0,588,10,1,22,1495,S18,PHG39,2
S20-PHG39-1,71,0,0,43,194,293,3,4,93,0,543,0,S20,PHG39,1
S1-PHG39-1,10,17,1,1,56,163,305,7,1,69,449,2,S1,PHG39,1
S5-PHG39-1,5,3,1,284,588,2098,0,0,62,0,939,4,S5,PHG39,1
S19-PHG39-1,29,39,0,1,55,137,96,1,58,171,348,7,S19,PHG39,1
S1-PHG39-2,17,30,0,0,95,220,486,4,1,100,641,9,S1,PHG39,2
S16-PHG39-1,0,59,1,0,77,35,38,1,15,277,351,2,S16,PHG39,1
S6-PHG39-1,0,9,1,241,392,10,3,35,96,0,1040,135,S6,PHG39,1
S2-PHG39-2,200,579,10,0,3,33,1,3,44,3,14,526,S2,PHG39,2
S21-PHG39-1,0,2075,0,2,285,2,0,2,5,2,1070,0,S21,PHG39,1
S17-PHG39-2,0,324,1,0,13,3,0,0,1,0,1509,315,S17,PHG39,2
S15-PHG39-1,0,82,0,0,56,85,284,0,151,442,373,27,S15,PHG39,1
S7-PHG39-2,2,81,1,98,250,0,1,0,345,1,9,351,S7,PHG39,2
S12-PHG47-2,233,654,1,0,253,8,990,0,33,419,1578,3,S12,PHG47,2
S3-PHG47-2,20,77,0,0,55,207,103,2,4,111,436,2,S3,PHG47,2
S15-PHG47-2,0,90,1,0,24,62,435,0,198,368,385,49,S15,PHG47,2
S9-PHG47-1,36,992,1,1,17,2,281,208,75,57,1204,0,S9,PHG47,1
S2-PHG47-1,164,1311,17,0,5,45,2,0,65,0,5,541,S2,PHG47,1
S6-PHG47-2,0,15,1,243,331,10,3,35,95,2,1040,129,S6,PHG47,2
S18-PHG47-1,0,12,1,327,334,2,7,1068,13,0,32,1510,S18,PHG47,1
S19-PHG47-2,14,57,0,0,33,189,89,3,92,123,357,11,S19,PHG47,2
S12-PHG47-1,43,196,0,0,73,1,348,1,9,160,433,1,S12,PHG47,1
S22-PHG47-1,71,541,3,3,4,1,3,2,645,0,988,0,S22,PHG47,1
S24-PHG47-1,4,1758,0,0,79,52,8,0,310,433,1675,5,S24,PHG47,1
S14-PHG47-1,0,21,1,0,2,2,1,1,3,4,221,187,S14,PHG47,1
S7-PHG47-1,0,115,0,57,203,0,2,0,295,0,10,302,S7,PHG47,1
S4-PHG47-1,0,1,970,0,98,265,409,0,113,0,772,3,S4,PHG47,1
S16-PHG47-2,0,34,6,0,84,48,11,0,7,262,310,0,S16,PHG47,2
S9-PHG47-2,43,891,0,0,10,0,362,128,78,54,1213,0,S9,PHG47,2
S15-PHG47-1,0,68,0,1,42,128,454,0,168,329,321,34,S15,PHG47,1
S3-PHG47-1,21,126,6,0,38,186,99,1,0,79,317,2,S3,PHG47,1
S5-PHG47-2,1,4,2,162,561,2043,0,0,65,2,970,1,S5,PHG47,2
S21-PHG47-2,0,2909,2,1,141,1,2,0,15,1,935,1,S21,PHG47,2
S22-PHG47-2,75,898,2,7,1,2,1,0,769,1,1499,1,S22,PHG47,2
S4-PHG47-2,0,3,966,0,63,275,341,0,129,0,728,0,S4,PHG47,2
S14-PHG47-2,0,15,1,1,3,1,0,0,2,3,151,170,S14,PHG47,2
S17-PHG47-1,0,272,0,0,0,2,1,0,0,1,1303,259,S17,PHG47,1
S20-PHG47-2,26,8,1,16,98,209,2,0,49,0,281,4,S20,PHG47,2
S24-PHG47-2,5,1496,3,1,65,185,0,0,250,721,1566,3,S24,PHG47,2
S20-PHG47-1,33,8,0,19,120,458,6,0,75,5,389,0,S20,PHG47,1
S18-PHG47-2,0,7,2,247,276,2,0,1581,15,0,23,1359,S18,PHG47,2
S1-PHG47-1,8,77,1,0,41,538,838,15,1,104,446,5,S1,PHG47,1
S5-PHG47-1,0,6,1,249,499,2381,0,0,57,2,784,0,S5,PHG47,1
S19-PHG47-1,36,31,2,0,23,89,99,0,174,214,304,5,S19,PHG47,1
S16-PHG47-1,0,43,1,0,39,28,24,0,12,205,286,1,S16,PHG47,1
S6-PHG47-1,0,14,2,247,302,43,1,243,118,0,1383,155,S6,PHG47,1
S1-PHG47-2,22,70,0,0,64,585,1051,11,3,64,557,5,S1,PHG47,2
S2-PHG47-2,143,1362,8,0,4,39,0,0,58,2,6,513,S2,PHG47,2
S21-PHG47-1,0,3151,2,1,204,1,3,3,3,0,921,5,S21,PHG47,1
S17-PHG47-2,0,547,1,0,7,1,2,0,0,0,1431,278,S17,PHG47,2
S7-PHG47-2,0,121,1,86,278,0,1,0,417,0,7,429,S7,PHG47,2
