Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bac_cutis,Bac_timonensis,Bac_kribbi,Bac_faecichinchillae,Bac_rodentium,Bac_caccae,Bac_ovatus,Bac_acidifaciens,Bac_xylanisolvens,Bac_fragilis,Bac_thetaiotaomicron,Bac_intestinalis,Bac_faecis,Bac_cellulosilyticus,Bac_clarus,Bac_plebeius,Bac_coprocola,Bac_stercoris,Bac_eggerthii,Bac_salyersiae,Bac_nordii,Bac_uniformis,Bac_paurosaccharolyticus,Bac_sartorii,Bac_massiliensis,Bac_vulgatus,Bac_dorei,Bac_caecimuris,Bac_cutis_log2,Bac_timonensis_log2,Bac_kribbi_log2,Bac_faecichinchillae_log2,Bac_rodentium_log2,Bac_caccae_log2,Bac_ovatus_log2,Bac_acidifaciens_log2,Bac_xylanisolvens_log2,Bac_fragilis_log2,Bac_thetaiotaomicron_log2,Bac_intestinalis_log2,Bac_faecis_log2,Bac_cellulosilyticus_log2,Bac_clarus_log2,Bac_plebeius_log2,Bac_coprocola_log2,Bac_stercoris_log2,Bac_eggerthii_log2,Bac_salyersiae_log2,Bac_nordii_log2,Bac_uniformis_log2,Bac_paurosaccharolyticus_log2,Bac_sartorii_log2,Bac_massiliensis_log2,Bac_vulgatus_log2,Bac_dorei_log2,Bac_caecimuris_log2
S17-764-2,S17,764,2,S17_764,0,0,1,0,0,0,2621,2,0,0,8,0,0,0,30,0,0,0,1,0,2,3,0,0,0,1546,283,0,0,0,1,0,0,0,11.35645197,1.584962501,0,0,3.169925001,0,0,0,4.95419631,0,0,0,1,0,1.584962501,2,0,0,0,10.59525748,8.14974712,0
S7-764-2,S7,764,2,S7_764,0,0,4,2,0,2,976,3,0,108,188,0,0,5,0,0,0,2,0,0,0,484,0,0,0,3,312,0,0,0,2.321928095,1.584962501,0,1.584962501,9.932214752,2,0,6.768184325,7.562242424,0,0,2.584962501,0,0,0,1.584962501,0,0,0,8.921840937,0,0,0,2,8.290018847,0
S12-A554-2,S12,A554,2,S12_A554,0,0,0,0,0,178,278,1,0,0,216,0,0,4,3,0,0,742,0,0,0,24,0,0,307,872,3,0,0,0,0,0,0,7.483815777,8.124121312,1,0,0,7.761551232,0,0,2.321928095,2,0,0,9.537218401,0,0,0,4.64385619,0,0,8.266786541,9.769837844,2,0
S6-A554-2,S6,A554,2,S6_A554,0,0,4,0,0,1,994,4,0,233,356,29,0,8,4,0,0,4,46,7,0,155,0,0,0,1084,126,0,0,0,2.321928095,0,0,1,9.958552715,2.321928095,0,7.87036472,8.479780264,4.906890596,0,3.169925001,2.321928095,0,0,2.321928095,5.554588852,3,0,7.285402219,0,0,0,10.08347933,6.988684687,0
S3-A554-2,S3,A554,2,S3_A554,0,0,3,0,0,41,874,3,0,0,69,0,0,62,0,0,0,158,1,0,4,171,0,0,122,583,2,0,0,0,2,0,0,5.392317423,9.773139207,2,0,0,6.129283017,0,0,5.977279923,0,0,0,7.312882955,1,0,2.321928095,7.426264755,0,0,6.942514505,9.189824559,1.584962501,0
S15-A554-2,S15,A554,2,S15_A554,0,0,2,0,0,0,338,1,0,0,43,0,0,118,0,14,0,627,0,0,0,287,0,0,441,342,86,1,0,0,1.584962501,0,0,0,8.405141463,1,0,0,5.459431619,0,0,6.894817763,0,3.906890596,0,9.294620749,0,0,0,8.169925001,0,0,8.787902559,8.422064766,6.442943496,1
S9-A554-1,S9,A554,1,S9_A554,0,1,0,0,0,38,518,3,0,0,44,0,0,0,0,37,61,438,122,0,1,126,0,0,61,1338,4,0,0,1,0,0,0,5.285402219,9.019590728,2,0,0,5.491853096,0,0,0,0,5.247927513,5.95419631,8.77807713,6.942514505,0,1,6.988684687,0,0,5.95419631,10.38694025,2.321928095,0
S2-A554-1,S2,A554,1,S2_A554,0,0,0,0,0,210,701,22,0,1,2,0,0,38,0,0,1,2,0,1,131,533,1,0,0,27,735,0,0,0,0,0,0,7.721099189,9.45532722,4.523561956,0,1,1.584962501,0,0,5.285402219,0,0,1,1.584962501,0,1,7.044394119,9.060695932,1,0,0,4.807354922,9.523561956,0
S18-A554-1,S18,A554,1,S18_A554,0,0,0,0,0,2,501,2,0,266,549,0,0,1,0,0,0,3,682,0,0,636,0,0,1,34,2278,0,0,0,0,0,0,1.584962501,8.971543554,1.584962501,0,8.060695932,9.103287808,0,0,1,0,0,0,2,9.415741768,0,0,9.315149562,0,0,1,5.129283017,11.15418521,0
S20-A554-1,S20,A554,1,S20_A554,0,4,1,0,0,66,264,2,0,40,209,0,0,300,0,1,0,2,0,0,10,309,0,0,0,509,8,0,0,2.321928095,1,0,0,6.06608919,8.049848549,1.584962501,0,5.357552005,7.714245518,0,0,8.233619677,0,1,0,1.584962501,0,0,3.459431619,8.276124405,0,0,0,8.994353437,3.169925001,0
S19-A554-2,S19,A554,2,S19_A554,0,0,1,1,0,16,295,4,0,0,41,0,0,110,0,0,0,147,0,6,0,196,0,0,203,471,12,0,0,0,1,1,0,4.087462841,8.209453366,2.321928095,0,0,5.392317423,0,0,6.794415866,0,0,0,7.209453366,0,2.807354922,0,7.622051819,0,0,7.672425342,8.882643049,3.700439718,0
S12-A554-1,S12,A554,1,S12_A554,0,0,0,0,0,159,502,2,0,0,273,0,0,0,0,2,2,1119,1,0,0,38,0,0,318,1053,1,0,0,0,0,0,0,7.321928095,8.97441459,1.584962501,0,0,8.098032083,0,0,0,0,1.584962501,1.584962501,10.12928302,1,0,0,5.285402219,0,0,8.317412614,10.04165915,1,0
S22-A554-1,S22,A554,1,S22_A554,1,0,5,0,0,84,512,2,0,3,1,0,0,2,0,0,0,0,0,0,1,714,0,0,1,984,2,0,1,0,2.584962501,0,0,6.409390936,9.002815016,1.584962501,0,2,1,0,0,1.584962501,0,0,0,0,0,0,1,9.481799432,0,0,1,9.943979914,1.584962501,0
S24-A554-1,S24,A554,1,S24_A554,0,0,2,0,0,8,1322,0,1,0,82,0,0,65,0,0,0,3,1,0,0,353,0,0,567,2222,3,0,0,0,1.584962501,0,0,3.169925001,10.36959735,0,1,0,6.375039431,0,0,6.044394119,0,0,0,2,1,0,0,8.46760555,0,0,9.14974712,11.11829223,2,0
S14-A554-1,S14,A554,1,S14_A554,0,0,1,0,0,3,27,1,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,2,169,191,0,0,0,1,0,0,2,4.807354922,1,0,0,2,0,0,0,0,0,0,1.584962501,0,0,0,1,0,0,1.584962501,7.409390936,7.584962501,0
S16-A554-2,S16,A554,2,S16_A554,0,0,2,1,0,0,142,0,0,2,126,0,0,13,0,0,0,34,0,0,39,67,0,0,344,458,0,0,0,0,1.584962501,1,0,0,7.159871337,0,0,1.584962501,6.988684687,0,0,3.807354922,0,0,0,5.129283017,0,0,5.321928095,6.087462841,0,0,8.430452552,8.842350343,0,0
S7-A554-1,S7,A554,1,S7_A554,2,0,1,2,0,0,857,2,0,154,332,0,0,0,0,0,0,2,0,0,0,589,0,0,2,10,558,0,1.584962501,0,1,1.584962501,0,0,9.744833837,1.584962501,0,7.276124405,8.379378367,0,0,0,0,0,0,1.584962501,0,0,0,9.204571144,0,0,1.584962501,3.459431619,9.126704473,0
S4-A554-1,S4,A554,1,S4_A554,1,0,2,0,0,0,109,806,0,0,105,0,0,231,0,0,0,466,0,1,41,128,0,13,4,506,4,4,1,0,1.584962501,0,0,0,6.781359714,9.656424863,0,0,6.727920455,0,0,7.857980995,0,0,0,8.86727874,0,1,5.392317423,7.011227255,0,3.807354922,2.321928095,8.985841937,2.321928095,2.321928095
S9-A554-2,S9,A554,2,S9_A554,0,0,0,2,0,35,640,2,0,1,60,0,0,0,0,21,81,412,168,0,0,125,0,0,63,1409,4,0,0,0,0,1.584962501,0,5.169925001,9.324180547,1.584962501,0,1,5.930737338,0,0,0,0,4.459431619,6.357552005,8.689997971,7.400879436,0,0,6.977279923,0,0,6,10.46147945,2.321928095,0
S3-A554-1,S3,A554,1,S3_A554,0,1,4,0,0,43,981,8,0,0,84,0,0,77,0,1,0,172,0,0,16,256,0,0,133,598,2,0,0,1,2.321928095,0,0,5.459431619,9.939579214,3.169925001,0,0,6.409390936,0,0,6.285402219,0,1,0,7.434628228,0,0,4.087462841,8.005624549,0,0,7.06608919,9.226412193,1.584962501,0
S5-A554-2,S5,A554,2,S5_A554,0,5,0,2,0,0,55,1,0,153,550,0,0,1087,50,0,1,3,2,1,165,299,0,0,0,1105,5,0,0,2.584962501,0,1.584962501,0,0,5.807354922,1,0,7.266786541,9.105908509,0,0,10.08746284,5.672425342,0,1,2,1.584962501,1,7.375039431,8.22881869,0,0,0,10.11113567,2.584962501,0
S15-A554-1,S15,A554,1,S15_A554,0,0,0,1,0,0,366,1,0,1,41,0,0,79,1,9,0,603,0,0,0,279,0,0,417,372,61,0,0,0,0,1,0,0,8.519636253,1,0,1,5.392317423,0,0,6.321928095,1,3.321928095,0,9.238404739,0,0,0,8.129283017,0,0,8.707359132,8.54303182,5.95419631,0
S21-A554-2,S21,A554,2,S21_A554,0,0,3,0,0,1,1790,119,0,1,340,0,0,1,0,0,0,0,0,233,9,669,0,0,1,1336,0,0,0,0,2,0,0,1,10.80654962,6.906890596,0,1,8.413627929,0,0,1,0,0,0,0,0,7.87036472,3.321928095,9.388017285,0,0,1,10.38478375,0,0
S22-A554-2,S22,A554,2,S22_A554,1,0,0,0,0,64,634,4,0,2,0,0,0,3,2,0,0,0,0,0,0,880,0,0,1,1646,3,0,1,0,0,0,0,6.022367813,9.310612782,2.321928095,0,1.584962501,0,0,0,2,1.584962501,0,0,0,0,0,0,9.782998209,0,0,1,10.68562484,2,0
S4-A554-2,S4,A554,2,S4_A554,0,0,4,1,0,0,133,916,0,0,104,1,0,204,0,0,0,393,0,0,51,223,0,8,2,500,1,5,0,0,2.321928095,1,0,0,7.06608919,9.840777924,0,0,6.714245518,1,0,7.6794801,0,0,0,8.622051819,0,0,5.700439718,7.807354922,0,3.169925001,1.584962501,8.968666793,1,2.584962501
S14-A554-2,S14,A554,2,S14_A554,0,0,0,0,0,0,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,53,71,0,0,0,0,0,0,0,3.584962501,3.169925001,0,0,0,0,0,1,0,0,0,0,0,0,0,1.584962501,0,0,0,5.754887502,6.169925001,0
S17-A554-1,S17,A554,1,S17_A554,0,0,6,0,0,0,900,1,0,0,3,0,0,2,20,0,0,0,0,0,0,0,0,0,1,1136,260,0,0,0,2.807354922,0,0,0,9.815383296,1,0,0,2,0,0,1.584962501,4.392317423,0,0,0,0,0,0,0,0,0,1,10.15101654,8.027905997,0
S20-A554-2,S20,A554,2,S20_A554,3,1,0,0,0,38,183,8,0,43,173,0,0,268,0,0,0,0,0,0,6,297,0,0,0,596,1,0,2,1,0,0,0,5.285402219,7.523561956,3.169925001,0,5.459431619,7.442943496,0,0,8.071462363,0,0,0,0,0,0,2.807354922,8.21916852,0,0,0,9.221587121,1,0
S24-A554-2,S24,A554,2,S24_A554,0,0,6,0,0,4,1133,0,0,0,99,0,0,117,0,0,0,1,1,0,0,429,0,0,662,2500,2,0,0,0,2.807354922,0,0,2.321928095,10.14720492,0,0,0,6.64385619,0,0,6.882643049,0,0,0,1,1,0,0,8.74819285,0,0,9.37286506,11.28828934,1.584962501,0
S18-A554-2,S18,A554,2,S18_A554,0,0,9,0,1,0,572,2,0,281,412,0,0,4,0,0,0,0,815,0,0,497,0,0,3,30,1588,0,0,0,3.321928095,0,1,0,9.162391329,1.584962501,0,8.139551352,8.689997971,0,0,2.321928095,0,0,0,0,9.672425342,0,0,8.960001932,0,0,2,4.95419631,10.63390341,0
S1-A554-1,S1,A554,1,S1_A554,0,0,3,1,0,24,255,1,0,1,87,0,0,190,0,0,0,410,3,4,0,163,0,0,83,649,2,0,0,0,2,1,0,4.64385619,8,1,0,1,6.459431619,0,0,7.577428828,0,0,0,8.682994584,2,2.321928095,0,7.357552005,0,0,6.392317423,9.344295908,1.584962501,0
S5-A554-1,S5,A554,1,S5_A554,1,3,0,1,0,3,48,0,0,318,687,0,0,1403,62,0,0,0,1,2,90,352,0,0,4,1067,5,0,1,2,0,1,0,2,5.614709844,0,0,8.317412614,9.426264755,0,0,10.45532722,5.977279923,0,0,0,1,1.584962501,6.50779464,8.463524373,0,0,2.321928095,10.06069593,2.584962501,0
S19-A554-1,S19,A554,1,S19_A554,1,0,1,0,0,23,290,0,0,0,40,0,0,111,0,0,0,96,0,6,0,156,0,0,221,438,19,0,1,0,1,0,0,4.584962501,8.184875343,0,0,0,5.357552005,0,0,6.807354922,0,0,0,6.599912842,0,2.807354922,0,7.294620749,0,0,7.794415866,8.77807713,4.321928095,0
S16-A554-1,S16,A554,1,S16_A554,0,0,2,0,0,0,147,2,0,3,111,0,0,13,0,0,0,31,1,1,23,76,0,0,417,392,2,0,0,0,1.584962501,0,0,0,7.209453366,1.584962501,0,2,6.807354922,0,0,3.807354922,0,0,0,5,1,1,4.584962501,6.266786541,0,0,8.707359132,8.618385502,1.584962501,0
