"","Microbiome_Seed","mean_bacteroides","na.rm"
"168","S6_PHG35",4330.5,TRUE
"169","S6_PHG39",3491.5,TRUE
"170","S6_PHG47",6053.5,TRUE
"171","S7_764",2428,TRUE
"172","S7_A554",2298,TRUE
"173","S7_B57",2128,TRUE
"174","S7_FBB0",3610.5,TRUE
"175","S7_HP301",2233,TRUE
"176","S7_LH60",2049,TRUE
"177","S7_NC262",2142.5,TRUE
"178","S7_PHG35",2343.5,TRUE
"179","S7_PHG39",2157.5,TRUE
"180","S7_PHG47",2360,TRUE
"181","S9_764",3563.5,TRUE
"182","S9_A554",3008.5,TRUE
"183","S9_B57",2511.5,TRUE
"184","S9_FBB0",5796.5,TRUE
"185","S9_HP301",2748.5,TRUE
"186","S9_LH60",2945,TRUE
"187","S9_NC262",3022.5,TRUE
"188","S9_PHG35",3021,TRUE
"189","S9_PHG39",2889,TRUE
"190","S9_PHG47",3399.5,TRUE
