Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bif_adolescentis,Bif_breve,Bif_gallicum,Bif_catenulatum,Bif_bifidum,Bif_adolescentis_log2,Bif_breve_log2,Bif_gallicum_log2,Bif_catenulatum_log2,Bif_bifidum_log2
S15-B57-1,S15,B57,1,S15_B57,0,0,0,9,0,0,0,0,3.321928095,0
S15-FBB0-2,S15,FBB0,2,S15_FBB0,0,0,0,4,0,0,0,0,2.321928095,0
S15-FBB0-1,S15,FBB0,1,S15_FBB0,0,0,0,0,0,0,0,0,0,0
S15-HP301-2,S15,HP301,2,S15_HP301,0,0,0,0,0,0,0,0,0,0
S15-HP301-1,S15,HP301,1,S15_HP301,0,0,0,2,0,0,0,0,1.584962501,0
S15-LH60-2,S15,LH60,2,S15_LH60,0,0,0,0,0,0,0,0,0,0
S15-NC262-2,S15,NC262,2,S15_NC262,0,0,0,3,0,0,0,0,2,0
S15-NC262-1,S15,NC262,1,S15_NC262,0,0,0,0,0,0,0,0,0,0
S15-PHG35-2,S15,PHG35,2,S15_PHG35,0,1,0,1,0,0,1,0,1,0
S15-PHG39-2,S15,PHG39,2,S15_PHG39,0,0,0,1,0,0,0,0,1,0
S15-PHG39-1,S15,PHG39,1,S15_PHG39,0,0,0,0,0,0,0,0,0,0
S15-PHG47-2,S15,PHG47,2,S15_PHG47,0,0,0,3,0,0,0,0,2,0
S15-PHG47-1,S15,PHG47,1,S15_PHG47,0,1,0,1,0,0,1,0,1,0
S16-764-2,S16,764,2,S16_764,0,0,0,0,1,0,0,0,0,1
S16-764-1,S16,764,1,S16_764,1,0,0,0,1,1,0,0,0,1
S16-A554-2,S16,A554,2,S16_A554,0,0,0,0,0,0,0,0,0,0
S16-A554-1,S16,A554,1,S16_A554,1,0,0,0,0,1,0,0,0,0
S16-B57-2,S16,B57,2,S16_B57,0,0,0,0,0,0,0,0,0,0
S16-B57-1,S16,B57,1,S16_B57,0,0,0,0,0,0,0,0,0,0
S16-FBB0-2,S16,FBB0,2,S16_FBB0,0,0,0,0,0,0,0,0,0,0
S16-FBB0-1,S16,FBB0,1,S16_FBB0,0,0,0,1,0,0,0,0,1,0
S16-HP301-2,S16,HP301,2,S16_HP301,0,0,0,0,0,0,0,0,0,0
S16-HP301-1,S16,HP301,1,S16_HP301,0,0,0,1,0,0,0,0,1,0
S16-LH60-2,S16,LH60,2,S16_LH60,0,0,0,0,0,0,0,0,0,0
S16-LH60-1,S16,LH60,1,S16_LH60,0,0,0,0,0,0,0,0,0,0
S16-NC262-2,S16,NC262,2,S16_NC262,0,1,0,0,1,0,1,0,0,1
S16-NC262-1,S16,NC262,1,S16_NC262,0,0,0,0,0,0,0,0,0,0
S16-PHG35-2,S16,PHG35,2,S16_PHG35,0,0,0,0,0,0,0,0,0,0
S16-PHG35-1,S16,PHG35,1,S16_PHG35,0,0,0,0,0,0,0,0,0,0
S16-PHG39-2,S16,PHG39,2,S16_PHG39,0,0,0,0,0,0,0,0,0,0
S16-PHG39-1,S16,PHG39,1,S16_PHG39,0,0,0,0,0,0,0,0,0,0
S16-PHG47-2,S16,PHG47,2,S16_PHG47,0,0,0,0,0,0,0,0,0,0
S16-PHG47-1,S16,PHG47,1,S16_PHG47,2,0,0,0,0,1.584962501,0,0,0,0
S17-764-1,S17,764,1,S17_764,0,0,0,0,0,0,0,0,0,0
S17-764-2,S17,764,2,S17_764,2,0,0,0,0,1.584962501,0,0,0,0
S17-A554-1,S17,A554,1,S17_A554,0,0,0,0,0,0,0,0,0,0
S17-A554-2,S17,A554,2,S17_A554,0,0,0,0,0,0,0,0,0,0
S17-B57-1,S17,B57,1,S17_B57,0,0,0,0,0,0,0,0,0,0
S17-B57-2,S17,B57,2,S17_B57,0,0,0,0,0,0,0,0,0,0
S17-FBB0-1,S17,FBB0,1,S17_FBB0,0,0,0,0,0,0,0,0,0,0
S17-FBB0-2,S17,FBB0,2,S17_FBB0,0,0,0,0,0,0,0,0,0,0
S17-HP301-1,S17,HP301,1,S17_HP301,0,0,0,0,0,0,0,0,0,0
S17-HP301-2,S17,HP301,2,S17_HP301,0,0,0,0,0,0,0,0,0,0
