"","means.CFU","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"FBB0:S7",62743.7796537268,18504.8247908761,4,416914.211785768,44483.1488550546,88442.5109000735,54117.9208397358,59024.7294298896,67650.5882438806
"FBB0:S9",2433232.83385584,799627.78460607,4,416914.211785768,1309756.0661964,3178204.22790517,2203373.27737353,2622485.52066089,2852345.07714319
"HP301:S1",301273.739384382,55987.2665233458,4,416914.211785768,239849.270819914,375580.089811201,278364.532976601,294832.798453206,317742.004860987
"HP301:S12",34338.7703643186,13301.0575081808,4,416914.211785768,20749.0984827647,50650.431442338,25288.1705360848,32977.7757660859,42028.3755943197
"HP301:S14",92678.0081108733,61276.8660872206,4,416914.211785768,39125.1512306044,151239.456346943,40081.9532233214,90173.7124329731,142769.767320525
"HP301:S15",292431.752055178,223984.633706874,4,416914.211785768,96223.3814078202,487669.897405889,99584.1878293905,292916.864703501,485764.428929288
"HP301:S16",72757.8957404728,45133.1388684803,4,416914.211785768,31231.1408894576,112799.414967824,34960.5678781757,73500.5135523048,111297.841414602
"HP301:S17",13841.4886788199,7127.09354668973,4,416914.211785768,6254.95013556363,20780.0871994424,8572.36642446741,14165.4586901368,19434.5809444892
"HP301:S18",158822.754568968,99110.7805894787,4,416914.211785768,52185.016108294,244913.24549553,85591.7318610909,169096.378336023,242327.4010439
"HP301:S19",532809.256623058,142098.128735717,4,416914.211785768,406796.971664339,682269.595113552,413703.830124614,521085.22985717,640190.656355614
"HP301:S2",733189.72586185,99973.2626296545,4,416914.211785768,621973.285979574,864986.37473672,694633.823248473,722899.621365553,761455.52397893
"HP301:S20",2323816.37212842,775907.049379201,4,416914.211785768,1405972.30667761,3091657.16401871,1831161.36506515,2398818.00890868,2891473.01597194
"HP301:S21",54834.4985614416,48221.109112156,4,416914.211785768,18386.5567751726,125876.503169073,31993.6477378196,37537.4671507602,60378.3179743823
"HP301:S22",40517.3339316413,9321.42548505855,4,416914.211785768,34156.6970614707,54088.0132393938,34541.8756009079,36912.3127128503,42887.7710435837
"HP301:S24",65926.6225335695,18776.2533013199,4,416914.211785768,50650.431442338,93324.1138560879,57327.5640603177,59865.972417926,68465.0308911777
"HP301:S3",78667.5936337382,44666.5749936692,4,416914.211785768,32709.9584435356,127293.337114973,45602.5987955906,77333.5394882222,110398.53432637
"HP301:S5",72046.5444220111,59311.0134470187,4,416914.211785768,15908.5810166016,134419.584908933,24334.6502807994,68929.005881255,116640.900022467
"HP301:S6",6157875.93088528,6979025.87403668,4,416914.211785768,105394.213320015,12582328.4433071,127389.175972309,5971890.53345698,12002377.2883699
"HP301:S7",136498.675947956,23377.4537441276,4,416914.211785768,115611.504336409,164544.987968802,118105.340897011,132919.105743307,151312.440794253
"HP301:S9",6160536.02570112,303857.0670078,4,416914.211785768,5895343.6808153,6510435.12069106,5911870.94888968,6118182.65064905,6366847.72746049
"LH60:S1",332961.438029246,145198.457463883,4,416914.211785768,204450.465139607,499082.130074689,214735.174947427,314156.578451344,432382.841533162
"LH60:S12",25051.2355029264,2901.43800578636,2,589605.732653522,22999.6090138425,27102.8619920103,24025.4222583845,25051.2355029264,26077.0487474684
"LH60:S14",66812.7519477703,16233.5968040877,4,416914.211785768,56903.3156957538,90850.5308567693,56998.9594332004,59748.580619279,69562.3731338488
"LH60:S15",250523.907620802,78641.2438118602,2,589605.732653522,194916.150840491,306131.664401113,222720.029230647,250523.907620802,278327.786010958
"LH60:S16",33773.8978717979,10750.0271146632,4,416914.211785768,21959.7964562903,43465.977503921,26030.5598580986,34834.9087634901,42578.2467771894
"LH60:S17",13455.2062946319,12807.3077568734,4,416914.211785768,1491.73434941041,25954.8951078048,2903.87361795499,13187.0978606562,23738.4305373331
"LH60:S18",152201.134475503,15062.7169599639,4,416914.211785768,134620.340157944,167268.486887988,142442.492979222,153457.855428039,163216.49692432
"LH60:S19",661362.2849216,270016.948618791,4,416914.211785768,411990.163539942,939681.51472379,439425.226590639,646888.730711333,868825.789042294
"LH60:S2",624915.751060377,232289.861564334,4,416914.211785768,450583.065733912,965986.719917372,500028.587122603,541546.609295113,666433.773232887
"LH60:S20",3428285.89354817,16279.9537816882,2,589605.732653522,3416774.22783173,3439797.5592646,3422530.06068995,3428285.89354817,3434041.72640639
"LH60:S21",69700.2415043037,44272.1160684094,4,416914.211785768,28154.1591653759,118582.15107145,34455.9993775864,66032.3278901945,101276.570016912
"LH60:S22",11959.350181301,4023.35528145055,4,416914.211785768,6391.77957533292,15268.9006358407,10345.3836427748,13088.3602570153,14702.3267955415
"LH60:S24",60353.3122843048,35622.452136014,4,416914.211785768,29509.2907320111,106739.681478516,34008.3920604207,52582.1384633463,78927.0586872303
"LH60:S3",103458.988422481,74156.7646469525,4,416914.211785768,35694.0485764514,183210.46642574,42787.5017465243,97465.7193438662,158137.206019823
"LH60:S4",251.761312804051,138.886736366322,2,589605.732653522,153.553559702557,349.969065905545,202.657436253304,251.761312804051,300.865189354798
"LH60:S5",110664.465408658,76009.7576296185,3,481411.064806988,22896.8665154151,154894.2320494,88549.5820882875,154202.29766116,154548.26485528
"LH60:S6",186585.115810613,14261.2260866264,2,589605.732653522,176500.906136725,196669.325484501,181543.010973669,186585.115810613,191627.220647557
"LH60:S7",337025.017319599,18872.4942984082,4,416914.211785768,313529.486344082,356199.919697755,326508.480707981,339185.331618279,349701.868229897
"LH60:S9",7809572.35858469,3975220.65324247,4,416914.211785768,5541298.96801677,13750705.1321434,5616397.06798805,5973142.66708931,8166317.95768595
"NC262:S1",309522.618021772,102865.908938378,4,416914.211785768,198586.397264547,404979.752197854,234018.134097971,317262.161312343,392766.645236144
"NC262:S12",25028.7602562178,11979.1172634447,4,416914.211785768,14611.2653027592,35534.5982254682,14676.8777513594,24984.5887483219,35336.4712531804
"NC262:S14",68134.3787741667,47256.0933296366,4,416914.211785768,25079.1148531539,123089.969808645,30692.6575464344,62184.2152174339,99625.9364451662
"NC262:S15",215497.847790892,133370.695796431,4,416914.211785768,92285.3731373738,381227.216256119,116219.170818596,194239.400885038,293518.077857334
"NC262:S16",48423.3723276944,34940.3416748207,4,416914.211785768,16962.9425234762,85841.7160519078,19537.7599997487,45444.4153676967,74330.0276956424
"NC262:S17",15418.42436092,9535.04412011179,4,416914.211785768,5371.73055626883,23749.5467919383,8222.02901645296,16276.2100477365,23472.6053922036
"NC262:S18",171240.21837617,28308.1012648877,4,416914.211785768,148665.970633022,209078.852347372,150005.148266394,163608.025262144,184843.09537192
"NC262:S19",833839.615880143,286750.389966984,4,416914.211785768,587243.998113965,1220124.28323855,632833.830157606,763995.09108403,965000.876806567
"NC262:S2",534009.558258383,71308.3838658694,4,416914.211785768,458040.980482205,621973.285979574,488821.842676568,528011.983285877,573199.698867693
"NC262:S20",2913668.46116171,1539027.28127729,4,416914.211785768,1556144.25615803,4848457.81531523,1740960.07377822,2625035.8865868,3797744.27397029
"NC262:S21",99805.9437284352,105195.417079718,4,416914.211785768,6769.78591266152,194770.76033059,9750.56331277915,98841.6143352444,188896.9947509
"NC262:S22",29528.7697381529,23307.2331131453,4,416914.211785768,7042.88304123585,52733.0337717192,10806.873515831,29169.5810698283,47891.4772921502
"NC262:S24",130933.064146671,116972.012462502,4,416914.211785768,27757.8159561942,245645.346185551,31307.7215420988,125164.547222469,224789.88982704
"NC262:S3",161001.069634495,81814.1076228202,4,416914.211785768,90175.1349887688,235943.99707709,90225.6197567371,158942.573236062,229718.02311382
"NC262:S4",195.549873138814,NA,1,833828.423571537,195.549873138814,195.549873138814,195.549873138814,195.549873138814,195.549873138814
"NC262:S5",76896.3918020575,61265.6234614444,4,416914.211785768,18141.2498369359,133121.953266162,27016.8203866584,78161.1820525662,128040.753467965
"NC262:S6",329097.502624365,236248.594161446,4,416914.211785768,112044.423352331,559023.643774579,132346.314053394,322660.971685276,519412.160256247
"NC262:S7",277916.858170716,121292.209850638,4,416914.211785768,161263.044304061,392484.494210396,179581.647096345,278959.947084204,377295.158158575
"NC262:S9",6872266.82703872,3973868.66844868,4,416914.211785768,2611874.03075111,10519254.9436475,3933495.86270581,7178969.16687813,10117740.131211
"PHG35:S1",252924.098227455,109780.119036637,4,416914.211785768,166769.97398485,411990.163539942,189304.593408318,216468.127692515,280087.632511652
"PHG35:S12",38463.1179339178,14893.8210360562,4,416914.211785768,25361.3989996188,54128.3883132039,25923.0725351257,37181.3422114242,49721.3876102163
"PHG35:S14",179730.052430788,14498.7775846037,4,416914.211785768,162834.986601815,195498.798986931,170734.865372294,180293.212067204,189288.399125698
"PHG35:S15",267157.157298788,704.809213955391,2,589605.732653522,266658.781924157,267655.532673418,266907.969611472,267157.157298788,267406.344986103
"PHG35:S16",309462.600522865,373915.476439524,4,416914.211785768,30883.5237903679,824033.605245316,33684.8052396671,191466.636527888,467244.431811086
"PHG35:S17",12354.8282018759,6271.32608922844,4,416914.211785768,6830.67679808213,19300.3306996354,7162.06454067535,11644.152654893,16836.9163160936
"PHG35:S18",132508.673824444,29326.4875060922,4,416914.211785768,91530.9853207844,158282.602945326,122129.979922223,140110.553515832,150489.247418052
"PHG35:S19",634568.508159369,183820.384039014,4,416914.211785768,457357.917796536,889200.58318988,536747.453704439,595857.76582553,693678.82028046
"PHG35:S2",772364.399749166,433047.200475697,4,416914.211785768,310502.801038532,1158028.88765421,449709.489070144,810462.95515196,1133117.86583098
"PHG35:S20",3715669.33338482,816746.234217688,2,589605.732653522,3138142.53266092,4293196.13410873,3426905.93302287,3715669.33338482,4004432.73374678
"PHG35:S21",91904.4761901069,64716.4640335478,4,416914.211785768,30358.0107450967,155125.566122828,39230.3453718623,91067.1639462516,143741.294764496
"PHG35:S22",40054.9271250443,21199.1652590199,4,416914.211785768,19722.5328562886,68012.6259320485,26204.4048556583,36242.27485592,50092.7971253061
"PHG35:S24",118770.54902162,93635.3816990582,4,416914.211785768,40190.4098264224,226794.955735804,40575.2145158485,104048.415262126,182243.749767897
"PHG35:S3",404273.914565008,17268.2806060924,4,416914.211785768,388985.759154884,424789.317621665,390513.599554379,401660.290741741,415420.605752371
"PHG35:S4",415.494258633196,NA,1,833828.423571537,415.494258633196,415.494258633196,415.494258633196,415.494258633196,415.494258633196
"PHG35:S5",145831.696644643,127255.270105226,4,416914.211785768,27001.9307774458,292946.497774732,46418.4811831511,131689.179013197,231102.394474689
"PHG35:S6",508606.238226452,542517.011518363,4,416914.211785768,38488.1077021309,1030777.59292598,41239.2682921337,482579.626138847,949946.596073166
"PHG35:S7",211399.726328723,182449.820687321,4,416914.211785768,55188.7850445863,401369.630328866,55219.6826197081,194520.24497072,350700.288679735
"PHG35:S9",5368295.15221501,585166.863844899,2,589605.732653522,4954519.69466461,5782070.6097654,5161407.42343981,5368295.15221501,5575182.8809902
"PHG39:S1",905225.422990007,327998.205328576,4,416914.211785768,559858.543918669,1222858.68152264,659748.369532677,919092.233259359,1164569.28671669
"PHG39:S12",28091.3242174133,7674.55161031994,4,416914.211785768,19796.2542213228,38145.0121311613,24141.1977618493,27212.0152585845,31162.1417141484
"PHG39:S14",51789.6834461166,11357.2918842083,2,589605.732653522,43758.865338878,59820.5015533552,47774.2743924973,51789.6834461166,55805.0924997359
"PHG39:S15",301717.108807059,195709.958701695,4,416914.211785768,126064.499350995,559858.543918669,164089.507122826,260472.695979285,398100.297663518
"PHG39:S16",109159.186333099,63325.9926829889,4,416914.211785768,46868.4077673662,184032.565862183,62536.611832094,102867.885851423,149490.460352429
"PHG39:S17",12439.8414329878,5526.67264661683,4,416914.211785768,6769.78591266152,18788.7697758053,8459.5360340789,12100.4050217422,16080.7104206511
"PHG39:S18",108373.584548126,34302.374337332,4,416914.211785768,67255.6138263539,151239.456346943,97167.903324992,107499.634009604,118705.315232738
"PHG39:S19",646239.739638167,192120.521778111,4,416914.211785768,438640.229470832,894524.56906433,540986.396382241,625897.080008753,731150.423264678
"PHG39:S2",319624.553090682,247203.883210284,4,416914.211785768,113221.050814857,636528.426436539,128519.927644267,264374.367555666,455478.993002081
"PHG39:S20",1739265.41586043,1417186.34883172,4,416914.211785768,459753.103695223,3054965.14476523,541463.752515159,1721171.70749064,2918973.37083591
"PHG39:S21",95768.2674193588,87138.6014955222,4,416914.211785768,11989.7497643152,189891.483660116,27058.5396773855,90595.9181265019,159305.645868475
"PHG39:S22",10145.2725843712,5824.55378012793,4,416914.211785768,4686.08317097236,17230.8457146476,5772.59648516849,9332.08072593244,13704.7568251352
"PHG39:S24",249270.564259107,208485.163913086,4,416914.211785768,63642.5534610693,488398.230942666,80339.9840970676,222520.736316347,391451.316478387
"PHG39:S3",116847.600690598,12583.2509419838,4,416914.211785768,98401.7040019598,126724.699818553,115076.57860017,121131.99947094,122903.021561368
"PHG39:S4",234.776113773199,NA,1,833828.423571537,234.776113773199,234.776113773199,234.776113773199,234.776113773199,234.776113773199
"PHG39:S5",105397.47387872,50194.0181576844,4,416914.211785768,64119.2249697057,173886.39465356,69935.1414651901,91792.137945808,127254.470359338
"PHG39:S6",171349.03925409,20474.1625274595,2,589605.732653522,156871.620091808,185826.458416372,164110.329672949,171349.03925409,178587.748835231
"PHG39:S7",294339.479463531,186518.86696478,4,416914.211785768,127198.387347546,496111.718414015,140181.879841259,277023.906046283,431181.505668555
"PHG39:S9",6093937.64415817,1679065.09435123,4,416914.211785768,4126721.76136012,7513301.98264898,4982037.0445321,6367863.41631179,7479764.01593786
"PHG47:S1",463630.799625878,177004.582818544,4,416914.211785768,306588.87112853,663195.359171192,318738.003710825,442369.484101896,587262.280016949
"PHG47:S12",63519.5063071691,4788.13745316811,2,589605.732653522,60133.7818447806,66905.2307695575,61826.6440759749,63519.5063071691,65212.3685383633
"PHG47:S14",252064.381672229,117714.429523276,4,416914.211785768,162713.525852514,417872.813090842,171190.528172962,213835.593872781,294709.447372048
"PHG47:S15",251409.711895851,249566.865096948,4,416914.211785768,47822.2498246856,574244.153422873,57905.132459556,191786.222167923,385290.801604218
"PHG47:S16",112184.860714732,76388.001027437,4,416914.211785768,42886.0698034565,190317.046001771,48596.1253243272,107768.16352685,171356.898917254
"PHG47:S17",28176.6663138564,21502.1272830363,4,416914.211785768,6810.31922455246,48432.7512211109,11162.9455381754,28731.7974048812,45745.5181805622
"PHG47:S18",215592.311197136,123540.106492245,4,416914.211785768,105630.410369786,342899.15065217,111768.095146971,206919.841883295,310744.057933461
"PHG47:S19",2015073.09667846,1558772.42489322,4,416914.211785768,677703.012707395,3776080.43344628,715856.541264244,1803254.47028009,3102471.0256943
"PHG47:S2",2292382.6708516,735020.253167205,4,416914.211785768,1656805.26871293,3259868.43655908,1757076.59831824,2126428.48906719,2661734.56160055
"PHG47:S20",3089626.93840121,1947081.9667025,4,416914.211785768,1373822.72222486,5394425.21422398,1529881.4947977,2795129.90857799,4354875.3521815
"PHG47:S21",169740.495709488,109934.895960876,4,416914.211785768,69656.1844234686,266261.121733258,77077.0120012628,171522.338340613,264185.822048838
"PHG47:S22",159112.370858907,169787.593842113,4,416914.211785768,13142.2685701004,343924.153217026,15791.2933727543,139691.53082425,283012.608310402
"PHG47:S24",273660.08699863,155410.943372713,4,416914.211785768,128342.474107391,433434.414307234,146877.57028574,266431.729789948,393214.246502838
"PHG47:S3",211705.000028408,59191.4958433291,4,416914.211785768,154317.405034807,277623.036019752,165916.971157035,207439.779529536,253227.80840091
"PHG47:S5",220828.870533476,182726.012958268,4,416914.211785768,49271.1474783221,394834.449825158,70356.0445490389,219604.942415211,370077.768399648
"PHG47:S6",920455.887739557,1006747.4093499,4,416914.211785768,51913.1466772868,1950931.85775776,58927.8566727063,839489.273261588,1701017.30432844
"PHG47:S7",389146.348402654,205733.671853704,4,416914.211785768,177160.653433129,659740.295660813,269477.403740778,359842.222258338,479511.166920214
"PHG47:S9",8163570.20629257,1316115.63178686,4,416914.211785768,7014822.67844362,9843352.40622196,7170178.47150593,7898052.87025235,8891444.60503899
