"","groups.CFU","groups.groups"
"NC262:S12",25028.7602562178,"o"
"FBB0:S21",21106.9265909414,"o"
"FBB0:S3",19836.0783497149,"o"
"B57:S22",16941.6183299858,"o"
"NC262:S17",15418.42436092,"o"
"A554:S12",15269.0433881585,"o"
"FBB0:S22",15094.4319280707,"o"
"FBB0:S5",15048.2188169735,"o"
"764:S17",14048.5118896967,"o"
"HP301:S17",13841.4886788199,"o"
"LH60:S17",13455.2062946319,"o"
"PHG39:S17",12439.8414329878,"o"
"FBB0:S14",12367.7265378124,"o"
"PHG35:S17",12354.8282018759,"o"
"LH60:S22",11959.350181301,"o"
"B57:S17",10161.4825206095,"o"
"PHG39:S22",10145.2725843712,"o"
"FBB0:S12",8528.46924727464,"o"
"FBB0:S16",4671.81284085772,"o"
"FBB0:S17",2021.22710945416,"o"
"764:S4",416.425415240326,"o"
"PHG35:S4",415.494258633196,"o"
"B57:S4",290.995161075235,"o"
"LH60:S4",251.761312804051,"o"
"PHG39:S4",234.776113773199,"o"
"NC262:S4",195.549873138814,"o"
"FBB0:S4",172.896623971739,"o"
