"","groups.Simpson","groups.groups"
"FBB0",0.944913069514977,"a"
"A554",0.928816352619483,"b"
"PHG47",0.927055396564566,"b"
"PHG39",0.927018257958921,"b"
"B57",0.926633659663628,"b"
"HP301",0.925779653354057,"b"
"LH60",0.922628804044925,"b"
"764",0.922421877880903,"b"
"PHG35",0.919996021021024,"b"
"NC262",0.919964732554459,"b"
