"","groups.CFU","groups.groups"
"PHG35",3731419.90994305,"a"
"PHG47",3716597.92637459,"a"
"HP301",3572329.21502707,"a"
"764",3082706.09941049,"ab"
"B57",2013725.82521584,"ab"
"FBB0",1787702.57427735,"ab"
"PHG39",1648583.92606214,"ab"
"A554",1317831.90870728,"ab"
"NC262",1269781.58606706,"ab"
"LH60",646406.159132251,"b"
"PHG",392484.494210396,"b"
